id,reviews,sentiment,project_name,
2.49E+17,还可以之前用过这个，所以这次又买了一个。,中性,清洁护肤,
2.49E+17,一如既往的好,正面,清洁护肤,
2.49E+17,大宝从小一直就用妙思乐的洗发水和沐浴露，现在二宝继续，哈哈哈！之前的沐浴洗发二合一用完，这回专门买一个洗发水，不知效果如何！！！,中性,清洁护肤,
2.49E+17,买给老婆用的洗头膏，现在这个阶段老婆受不了香味的洗发水。正好看到这个牌子的产品都是主打无香的，所以就购入了。今天晚上用了试试,中性,清洁护肤,
2.49E+17,昨天晚上用了一下，挤一点泡沫就很丰富，洗完脸不紧绷，滑滑的，之前用的是袋鼠妈妈的，不过用完这款，觉得也不错！还便宜！京东物流真是没得说，一个字，快！,正面,清洁护肤,
2.49E+17,起泡效果：泡沫很多产品香味：淡淡香味很好闻使用效果：洗完头发滑滑溜溜的其他特色：包装用起来很方便,正面,清洁护肤,
2.49E+17,很好用，味道也很好闻，也很好吸收,正面,清洁护肤,
2.49E+17,单独洗发水应该比二合一的好，小孩子头发比较毛躁，第一次用，试试看,中性,清洁护肤,
2.49E+17,我感觉没有角鲨烷另一款好用呢。 ,中性,清洁护肤,
2.49E+17,店家发货非常快，还没用，因为旧的还没用完，先屯起来，比想象中的要小很多，之前买的是1升的?? ,正面,清洁护肤,
2.49E+17,朋友推荐，说是很好用，就买了,正面,清洁护肤,
2.49E+17,一直在用它，还是不错的,正面,清洁护肤,
2.49E+17,很好用给妹妹送了几次又回来下单两姐妹经常用还很不错,正面,清洁护肤,
2.49E+17,味道淡淡的香味，挺好闻的,正面,清洁护肤,
2.49E+17,一款经常复购的儿童产品,正面,清洁护肤,
2.49E+17,唉，你可别说，这款洗发水还真的无色无味，而且洗头完了特别蓬松，值得推荐,正面,清洁护肤,
2.49E+17,好用，很自然,正面,清洁护肤,
2.49E+17,细腻有泡沫洗完不紧绷舒服,正面,清洁护肤,
2.49E+17,用久了才知道，后续再评价,中性,清洁护肤,
2.49E+17,买完就降价了,负面,清洁护肤,
2.49E+17,以前别人送了一瓶，用了效果很好，照着又买了一瓶。,正面,清洁护肤,
2.49E+17,之前买过一次，赶上京东做活动，来囤了三瓶。产品香味：还可以，不冲。起泡效果：泡沫丰富。使用效果：不太好冲洗，下次考虑买mamakids，据说冲洗比较方便。,负面,清洁护肤,
2.49E+17,不知道好不好用，希望好用吧,中性,清洁护肤,
2.49E+17,成分安全即可，老品牌了,正面,清洁护肤,
2.49E+17,喜欢这个无味的洗发水儿子一直用,中性,清洁护肤,
2.49E+17,一直都非常喜欢用壁丽的产品，这次借着618活动又忍不住下手采购了，这次买的是精华液，配合之前买的爽肤水乳液一起使用，感觉很不错。后面还买了壁丽的化妆品系列。感觉成分比较自然比较适合护肤用，还会继续买壁丽的产品哦！,正面,清洁护肤,
2.49E+17,东西不是很油，不黏腻，淡淡的香味。,正面,清洁护肤,
2.49E+17,慎买！慎买！不支持七天无理由退货，只刮查询码但未拆封也不支持退货，质量没有之前的好了,负面,清洁护肤,
2.49E+17,不油腻好吸收，挺好的,正面,清洁护肤,
2.49E+17,使用感受：非常好的一款产品，会一直认准他,正面,清洁护肤,
2.49E+17,不错，挺好用的,正面,清洁护肤,
2.49E+17,朋友推荐，加送一瓶试用，效果很好，所以立马购买,正面,清洁护肤,
2.49E+17,很好用哦，没有刺激性，味道很好闻,正面,清洁护肤,
2.49E+17,用来按摩脸部的，好开始用期待效果,中性,清洁护肤,
